license_number,business_name,dba_name,city,county,weedmaps_url,leafly_url,verified_url,menu_provider
C10-0001255-LIC,Sharp Source [Equity Retailer],KOLAS #106 [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/kolas-106-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/kolas-106-equity-retailer,,
C10-0000317-LIC,"Valley Health Options Collective, Inc.",,Sacramento,Sacramento,https://weedmaps.com/dispensaries/valley-health-options-sacramento,https://www.leafly.com/dispensary-info/valley-health-options,,
C10-0000142-LIC,Higher Level Of Care Hollister Inc.,,Hollister,San Benito,https://weedmaps.com/dispensaries/higher-level-of-care-hollister-hollister,https://www.leafly.com/dispensary-info/higher-level-of-care-hollister,,
C10-0001586-LIC,395 High Sky LLC,395 High Sky LLC,Adelanto,San Bernardino,https://weedmaps.com/dispensaries/395-high-sky-adelanto,https://www.leafly.com/dispensary-info/395-high-sky,,
C10-0000120-LIC,"Adelanto Air Expressway, Inc.",High Season,Adelanto,San Bernardino,https://weedmaps.com/dispensaries/high-season-adelanto,https://www.leafly.com/dispensary-info/high-season,,
C10-0001116-LIC,Ashe Society Sb LLC,ASHE,SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/ashe-sn-bernrdno,https://www.leafly.com/dispensary-info/ashe,,
C10-0001359-LIC,Catalyst - San Bernardino LLC,,SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/catalyst-san-bernardino-sn-bernrdno,https://www.leafly.com/dispensary-info/catalyst-san-bernardino,,
C10-0001432-LIC,Fontana Responsible And Compliant Retail LLC,Embarc Fontana,Fontana,San Bernardino,https://weedmaps.com/dispensaries/embarc-fontana-fontana,https://www.leafly.com/dispensary-info/embarc-fontana,,
C10-0000610-LIC,Highway 395 Dispensary Inc.,Highway 395 Dispensary,Adelanto,San Bernardino,https://weedmaps.com/dispensaries/highway-395-adelanto,https://www.leafly.com/dispensary-info/highway-395,,
C10-0001479-LIC,"Hs Fontana Retail, LLC",High Season,Fontana,San Bernardino,https://weedmaps.com/dispensaries/high-season-fontana,https://www.leafly.com/dispensary-info/high-season,,
C10-0000057-LIC,"Jet Room, Inc.",,Adelanto,San Bernardino,https://weedmaps.com/dispensaries/jet-room-adelanto,https://www.leafly.com/dispensary-info/jet-room,,
C10-0000742-LIC,Jiva Sbd LLC,JIVA SBD LLC,SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/jiva-sbd-sn-bernrdno,https://www.leafly.com/dispensary-info/jiva-sbd,,
C10-0001523-LIC,Kicks 66 LLC,Cavi Land,Needles,San Bernardino,https://weedmaps.com/dispensaries/cavi-land-needles,https://www.leafly.com/dispensary-info/cavi-land,,
C10-0000809-LIC,Marvins Mary J LLC,Marvins Mary J,Needles,San Bernardino,https://weedmaps.com/dispensaries/marvins-mary-j-needles,https://www.leafly.com/dispensary-info/marvins-mary-j,,
C10-0000995-LIC,"Nca Management Co, LLC","NCA Management Co, LLC",Needles,San Bernardino,https://weedmaps.com/dispensaries/nca-management-co-needles,https://www.leafly.com/dispensary-info/nca-management-co,,
C10-0001606-LIC,Packd LLC,Packd LLC.,Needles,San Bernardino,https://weedmaps.com/dispensaries/packd-needles,https://www.leafly.com/dispensary-info/packd,,
C10-0000718-LIC,"Ptre Management, LLC",,San Bernardino,San Bernardino,https://weedmaps.com/dispensaries/ptre-management-san-bernardino,https://www.leafly.com/dispensary-info/ptre-management,,
C10-0000311-LIC,"Pure San Bernardino, LLC",Haven Cannabis Marijuana and Weed Dispensary - San Bernardino,San Bernardino,San Bernardino,https://weedmaps.com/dispensaries/haven-marijuana-and-weed-san-bernardino-san-bernardino,https://www.leafly.com/dispensary-info/haven-marijuana-and-weed-san-bernardino,,
C10-0001002-LIC,Quality Life Inc.,Quality Life,Barstow,San Bernardino,https://weedmaps.com/dispensaries/quality-life-barstow,https://www.leafly.com/dispensary-info/quality-life,,
C10-0001021-LIC,Rd San Bernardino LLC,RD SAN BERNARDINO LLC,SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/rd-san-bernardino-sn-bernrdno,https://www.leafly.com/dispensary-info/rd-san-bernardino,,
C10-0001460-LIC,Rznhead Inc.,BACKPACK BOYZ SAN BERNARDINO,SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/backpack-boyz-san-bernardino-sn-bernrdno,https://www.leafly.com/dispensary-info/backpack-boyz-san-bernardino,,
C10-0000074-LIC,"Sb License 01, LLC",Captain Jacks,San Bernardino,San Bernardino,https://weedmaps.com/dispensaries/captain-jacks-san-bernardino,https://www.leafly.com/dispensary-info/captain-jacks,,
C10-0000542-LIC,"Shatter, LLC","SHATTER, LLC",SN Bernrdno,San Bernardino,https://weedmaps.com/dispensaries/shatter-sn-bernrdno,https://www.leafly.com/dispensary-info/shatter,,
C10-0001106-LIC,Shryne Barstow LLC,STIIIZY Barstow,Barstow,San Bernardino,https://weedmaps.com/dispensaries/stiiizy-barstow-barstow,https://www.leafly.com/dispensary-info/stiiizy-barstow,,
C10-0001482-LIC,St George Consulting Enterprise [Equity Retailer],GEEZZ DISPENSARY [Equity Retailer],Adelanto,San Bernardino,https://weedmaps.com/dispensaries/geezz-equity-retailer-adelanto,https://www.leafly.com/dispensary-info/geezz-equity-retailer,,
C10-0001550-LIC,Status Ie LLC,Status IE LLC,Adelanto,San Bernardino,https://weedmaps.com/dispensaries/status-ie-adelanto,https://www.leafly.com/dispensary-info/status-ie,,
C10-0000147-LIC,The Bud Farmacy,,Needles,San Bernardino,https://weedmaps.com/dispensaries/the-bud-farmacy-needles,https://www.leafly.com/dispensary-info/the-bud-farmacy,,
C10-0001180-LIC,The Gas Station 760 Inc,,Needles,San Bernardino,https://weedmaps.com/dispensaries/the-gas-station-760-needles,https://www.leafly.com/dispensary-info/the-gas-station-760,,
C10-0000032-LIC,The Healing Center Needles,THE HEALING CENTER NEEDLES,Needles,San Bernardino,https://weedmaps.com/dispensaries/the-healing-center-needles-needles,https://www.leafly.com/dispensary-info/the-healing-center-needles,,
C10-0000983-LIC,"Wolfe Pak, Inc. [Equity Retailer]",DISPENSARY ON 66 [Equity Retailer],Needles,San Bernardino,https://weedmaps.com/dispensaries/on-66-equity-retailer-needles,https://www.leafly.com/dispensary-info/on-66-equity-retailer,,
C10-0000775-LIC,2018fmo LLC,Originals,San Diego,San Diego,https://weedmaps.com/dispensaries/originals-san-diego,https://www.leafly.com/dispensary-info/originals,,
C10-0000140-LIC,"Alternative Health Sunrise, Inc",Goldn Bloom,San Diego,San Diego,https://weedmaps.com/dispensaries/goldn-bloom-san-diego,https://www.leafly.com/dispensary-info/goldn-bloom,,
C10-0001104-LIC,"Bakery Sorrento, LLC",Cookies Sorrento,San Diego,San Diego,https://weedmaps.com/dispensaries/cookies-sorrento-san-diego,https://www.leafly.com/dispensary-info/cookies-sorrento,,
C10-0000750-LIC,"Brown Square Assets, LLC",Cookies San Diego,San Diego,San Diego,https://weedmaps.com/dispensaries/cookies-san-diego-san-diego,https://www.leafly.com/dispensary-info/cookies-san-diego,,
C10-0001643-LIC,"Cake Sd 420, LLC",The Cake House,San Diego,San Diego,https://weedmaps.com/dispensaries/the-cake-house-san-diego,https://www.leafly.com/dispensary-info/the-cake-house,,
C10-0000776-LIC,Calgen Trading Inc.,Urbn Leaf,Vista,San Diego,https://weedmaps.com/dispensaries/urbn-leaf-vista,https://www.leafly.com/dispensary-info/urbn-leaf,,
C10-0001518-LIC,Catalyst - San Diego Km LLC,Catalyst - Kearny Mesa,San Diego,San Diego,https://weedmaps.com/dispensaries/catalyst-kearny-mesa-san-diego,https://www.leafly.com/dispensary-info/catalyst-kearny-mesa,,
C10-0000778-LIC,"City Heights Greens, Inc.",March and Ash Cannabis,San Diego,San Diego,https://weedmaps.com/dispensaries/march-and-ash-san-diego,https://www.leafly.com/dispensary-info/march-and-ash,,
C10-0001270-LIC,Coastal Wellness,COASTAL CANNABIS,Vista,San Diego,https://weedmaps.com/dispensaries/coastal-vista,https://www.leafly.com/dispensary-info/coastal,,
C10-0001411-LIC,Cosdd61 LLC,Wellgreens Dispensary,San Diego,San Diego,https://weedmaps.com/dispensaries/wellgreens-san-diego,https://www.leafly.com/dispensary-info/wellgreens,,
C10-0001439-LIC,Cosdlm1. LLC,HiKei Cannabis,La Mesa,San Diego,https://weedmaps.com/dispensaries/hikei-la-mesa,https://www.leafly.com/dispensary-info/hikei,,
C10-0000290-LIC,"Ctrl Alt Destroy, Inc.",Embr,La Mesa,San Diego,https://weedmaps.com/dispensaries/embr-la-mesa,https://www.leafly.com/dispensary-info/embr,,
C10-0001136-LIC,"Cvcc Retail, Inc.",March and Ash,Chula Vista,San Diego,https://weedmaps.com/dispensaries/march-and-ash-chula-vista,https://www.leafly.com/dispensary-info/march-and-ash,,
C10-0000555-LIC,Drgreenrx,DRGREENRX,Vista,San Diego,https://weedmaps.com/dispensaries/drgreenrx-vista,https://www.leafly.com/dispensary-info/drgreenrx,,
C10-0001404-LIC,"Ecrencinitas4, LLC",Wellgreens Dispensary,Encinitas,San Diego,https://weedmaps.com/dispensaries/wellgreens-encinitas,https://www.leafly.com/dispensary-info/wellgreens,,
C10-0000121-LIC,Ecsd Management LLC,Eaze,San Diego,San Diego,https://weedmaps.com/dispensaries/eaze-san-diego,https://www.leafly.com/dispensary-info/eaze,,
C10-0001035-LIC,"Element 7 Chula Vista One, LLC","ELEMENT 7 CHULA VISTA ONE, LLC",Chula Vista,San Diego,https://weedmaps.com/dispensaries/element-7-chula-vista-one-chula-vista,https://www.leafly.com/dispensary-info/element-7-chula-vista-one,,
C10-0000422-LIC,"Evergreen Evolution, LLC",Dr. GreenThumb's,La Mesa,San Diego,https://weedmaps.com/dispensaries/dr-greenthumbs-la-mesa,https://www.leafly.com/dispensary-info/dr-greenthumbs,,
C10-0000860-LIC,Federal And College Group Inc.,Wellgreens Dispensary,Lemon Grove,San Diego,https://weedmaps.com/dispensaries/wellgreens-lemon-grove,https://www.leafly.com/dispensary-info/wellgreens,,
C10-0000630-LIC,"Fresh Selection, Inc.","FRESH SELECTION, INC.",La Mesa,San Diego,https://weedmaps.com/dispensaries/fresh-selection-la-mesa,https://www.leafly.com/dispensary-info/fresh-selection,,
